Avancement;Profondeur 1;Profondeur 2;Profondeur 3;Profondeur 4;Profondeur 5;Profondeur 6;Profondeur 7;Profondeur 8
38;110100;288301;2463800;4901500;37362000;80843800;534333599;1041437801
39;89600;260700;2828701;4476900;44424900;89767099;537257400;1567707900
27;107899;529300;3935400;31014801;185986200;1305445300;7253979800;60052186400
20;140500;343100;2931200;8141000;86755500;216610300;2410355700;8438175700
39;111800;210900;1145800;1540400;13062300;15896900;131281700;337927600
41;103000;259800;2591800;2634300;22569700;37743800;356599900;515101200
26;91500;553700;1891900;7627800;19032800;68520800;216949700;923280800
44;100900;539300;2092900;13181300;69795100;246571100;1101171500;4019374800
30;99800;271400;823700;2813500;8816900;36542200;169414400;774425500
27;98500;450800;2415600;17423800;88534200;377825100;2726192100;9798553100
43;130400;351900;3472800;12811800;112041300;324621700;2256762700;6369712200
18;83200;136300;1055100;4195300;16281500;62075800;628957100;555209000
25;66000;256900;3386800;13571200;145256000;431918900;5463809000;12640221000
48;105500;249100;1069700;1874200;7672600;18831100;48754000;97615700
34;91600;537700;4069000;17729300;153669400;467991700;3589969200;9952295500
37;70400;261100;676700;2618200;6816600;30585100;63194900;312214500
19;121800;809200;7149300;61570800;454810000;5335021500;26641629700;423771857100
24;122800;634900;7275300;21383000;195904700;488888600;3520978800;10928246000
21;118600;252500;1979900;4748400;30444700;82260300;554346800;1336442400
22;126300;451200;4409300;4927200;66488700;83245600;1110402900;1046296500
19;113500;282000;1809900;7082600;35367100;157684600;668324200;3156051000
33;118500;679600;5899000;9209500;101955500;238690500;2528426200;3330487300
31;53700;241000;894600;5935800;25089300;158941900;484903200;3406466200
16;108300;400800;2479700;11062400;78317200;241398300;1839109700;6408157800
36;123500;535900;3174100;15713800;86846400;448467900;2431270200;10315263500
48;42700;99200;687500;1793400;5257800;27892300;49690000;205933700
39;114700;279400;3104600;5446800;47511400;36736700;540087100;512132400
27;107800;402300;3236500;14046000;114633200;465407700;2777383200;12077540400
18;99600;467700;4664500;22089400;142118000;559034300;3699615200;13698076300
